interview_number,interview_date,interview_time,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter2_gender,alter2_age,alter2_class,alter2_home,alter3_gender,alter3_age,alter3_class,alter3_home,alter4_gender,alter4_age,alter4_class,alter4_home,alter5_gender,alter5_age,alter5_class,alter5_home
self,09/06/2016,22:05,18,Freshman,LA,5,F,18,Freshman,LA,M,18,Freshman,LA,M,18,Freshman,LA,F,56,Other,Rest of World,M,18,Freshman,LA
1,09/06/2016,8:31 PM,18,Freshman,LA,5,F,15,Other,LA,M,19,Sophomore,LA,M,18,Freshman,LA,F,18,Freshman,LA,F,18,Freshman,LA
2,09/06/2016,20:40,17,Freshman,Rest of US,3,M,54,Other,Rest of World,M,26,Other,Rest of World,M,20,Junior,Rest of US,,,,,,,,
3,09/06/2016,20:59,18,Freshman,Rest of California,2,F,46,Other,Rest of US,M,47,Other,Rest of US,,,,,,,,,,,,
self,08/29/2016,3:30 PM,20,Junior,Bay Area,3,M,21,Senior,Rest of World,F,21,Senior,Bay Area,F,49,Other,Rest of World,,,,,,,,
1,08/30/2016,10:45 AM,22,Other,Rest of California,4,M,20,Junior,Bay Area,F,23,Other,LA,F,22,Other,Rest of California,F,22,Other,Rest of California,,,,
2,08/30/2016,2:15 PM,21,Junior,Rest of World,5,F,20,Freshman,Bay Area,F,16,Other,Rest of World,F,20,Sophomore,Rest of World,F,21,Junior,Rest of World,M,23,Other,Rest of World
3,09/02/2016,11:05 AM,25,Other,Bay Area,1,M,25,Other,Bay Area,,,,,,,,,,,,,,,,
self,08/29/2016,3:35 PM,21,Senior,Bay Area,5,F,23,Other,Bay Area,M,23,Other,Rest of California,F,25,Other,Bay Area,F,21,Senior,Bay Area,M,21,Senior,Rest of California
1,08/31/2016,4:20 PM,20,Junior,LA,5,F,20,Junior,LA,M,21,Junior,Rest of World,F,20,Junior,Bay Area,F,20,Junior,LA,F,18,Freshman,LA
2,09/02/2016,12:30 PM,23,Other,LA,5,M,23,Senior,LA,F,24,Other,Rest of World,F,24,Other,Rest of World,M,23,Senior,Bay Area,F,20,Senior,Bay Area
3,09/02/2016,3:45 PM,21,Senior,Bay Area,6+,F,20,Senior,Bay Area,F,23,Other,LA,F,21,Junior,Rest of World,F,24,Other,Rest of World,M,23,Senior,Bay Area
self,08/29/2016,3:30PM,20,Junior,Rest of California,4,F,53,Other,Rest of California,M,58,Other,Rest of California,F,24,Other,Rest of California,M,20,Junior,Rest of California,,,,
1,08/29/2016,3:31PM,20,Senior,Rest of California,4,M,23,Senior,Rest of World,F,40,Other,Rest of World,M,50,Other,Rest of World,M,21,Sophomore,Rest of World,,,,
2,08/29/2016,5:40PM,17,Freshman,LA,5,M,17,Freshman,LA,F,50,Other,LA,F,15,Other,LA,F,16,Other,Rest of US,F,18,Other,LA
3,08/29/2016,5:42PM,22,Junior,Bay Area,4,M,23,Other,Rest of World,M,25,Other,Rest of World,F,22,Other,LA,M,21,Senior,Rest of World,,,,
self,09/05/2016,10:26 PM,20,Junior,Rest of California,6+,F,20,Junior,Rest of California,F,20,Junior,Rest of California,M,23,Other,Rest of California,F,15,Other,Rest of California,F,50,Other,Rest of California
1,09/05/2016,10:05 PM,21,Senior,Bay Area,6+,M,20,Senior,Rest of US,F,51,Other,Rest of World,M,56,Other,Rest of World,F,20,Junior,Rest of California,F,19,Senior,Bay Area
2,09/05/2016,10:15 PM,20,Junior,Rest of California,6+,F,22,Junior,Rest of World,F,49,Other,Rest of World,M,55,Other,Rest of World,M,14,Other,Rest of California,F,22,Other,Rest of California
3,09/05/2016,11:19 PM,19,Junior,Rest of California,6+,M,20,Junior,Rest of US,M,20,Junior,Rest of US,F,21,Senior,Bay Area,M,22,Senior,Rest of World,F,20,Junior,Rest of California
self,08/29/2016,15:38,21,Senior,Rest of World,5,F,48,Other,Rest of World,F,21,Senior,Rest of World,M,22,Other,Rest of World,F,21,Senior,Rest of World,M,48,Other,Rest of World
