born,district,icpsr,n_au,n_bills,n_co,na,nyears,party,sex,state,thomas,vertex.names,node_id
1969,6,NA,7,142,135,FALSE,0,REP,M,NC,02255,Mark Walker,282
1977,2,21355,15,235,220,FALSE,2,REP,M,OK,02156,Markwayne Mullin,283
1976,3,21100,4,128,124,FALSE,5,REP,M,IN,01981,Marlin A. Stutzman,284
1952,7,20351,21,321,300,FALSE,12,REP,F,TN,01748,Marsha W. Blackburn,285
1960,1,29565,6,120,114,FALSE,20,REP,M,SC,01012,Marshall Sanford,286
1966,2,NA,20,252,232,FALSE,0,REP,F,AZ,02225,Martha McSally,287
1976,2,21192,3,118,115,FALSE,4,REP,F,AL,01986,Martha Roby,288
1958,5,29500,31,300,269,FALSE,20,REP,M,AZ,01009,Matt Salmon,289
1961,17,21358,53,625,572,FALSE,2,DEM,M,PA,02159,Matthew A. Cartwright,290
1938,43,29106,28,231,203,FALSE,24,DEM,F,CA,01205,Maxine Waters,291
1975,4,NA,8,168,160,FALSE,0,REP,F,UT,02271,Mia Love,292
1950,26,20355,23,261,238,FALSE,12,REP,M,TX,01751,Michael C. Burgess,293
1952,7,29919,13,297,284,FALSE,16,DEM,M,MA,01564,Michael E. Capuano,294
1953,14,29561,3,196,193,FALSE,20,DEM,M,PA,00316,Michael F. Doyle Jr.,295
1963,8,20524,17,333,316,FALSE,10,REP,M,PA,01797,Michael G. Fitzpatrick,296
1950,2,29910,6,150,144,FALSE,16,REP,M,ID,01590,Michael K. Simpson,297
1941,17,20103,43,760,717,FALSE,14,DEM,M,CA,01634,Michael M. Honda,298
1960,10,20342,14,168,154,FALSE,12,REP,M,OH,01741,Michael R. Turner,299
1962,10,20530,21,285,264,FALSE,10,REP,M,TX,01804,Michael T. McCaul,300
1959,1,21341,11,335,324,FALSE,2,DEM,F,NM,02146,Michelle Lujan Grisham,301
1967,5,21176,10,261,251,FALSE,4,REP,M,SC,02059,Mick Mulvaney,302
1967,8,NA,5,265,260,FALSE,0,REP,M,MI,02249,Mike Bishop,303
1960,12,NA,4,180,176,FALSE,0,REP,M,IL,02243,Mike Bost,304
1955,6,20906,15,305,290,FALSE,6,REP,M,CO,01912,Mike Coffman,305
1948,3,21167,26,381,355,FALSE,4,REP,M,PA,02051,Mike Kelly,306
